,ispred_fpr,ispred_tpr,sppider_fpr,sppider_tpr,dockpred_fpr,dockpred_tpr,logisticregresion_fpr,logisticregresion_tpr,linearregression_fpr,linearregression_tpr,randomforest_fpr,randomforest_tpr,xgboost_fpr,xgboost_tpr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.6283281204825612e-05,0.0009135200974421437,0.004336741398796226,0.009439707673568819,0.0032854101506032012,0.014007308160779537,0.0,0.0003045066991473812,0.0,0.0003045066991473812,0.002917444213735643,0.004567600487210719,2.6283281204825612e-05,0.0
2,7.884984361447684e-05,0.0009135200974421437,0.004415591242410703,0.0097442143727162,0.0033905432754225036,0.014007308160779537,0.0,0.0009135200974421437,0.0,0.0006090133982947625,0.0036533760874707596,0.0057856272838002435,0.0002365495308434305,0.0006090133982947625
3,0.00010513312481930245,0.0009135200974421437,0.004441874523615528,0.0097442143727162,0.003443109837832155,0.014007308160779537,5.2566562409651224e-05,0.0009135200974421437,2.6283281204825612e-05,0.0006090133982947625,0.004757273898073435,0.007917174177831911,0.00031539937445790734,0.0009135200974421437
4,0.00015769968722895367,0.0009135200974421437,0.004494441086025179,0.0097442143727162,0.0035219596814466316,0.014007308160779537,5.2566562409651224e-05,0.001218026796589525,2.6283281204825612e-05,0.0009135200974421437,0.006386837332772623,0.008830694275274055,0.00034168265566273293,0.0009135200974421437
5,0.0002102662496386049,0.0009135200974421437,0.004494441086025179,0.010048721071863581,0.0036008095250611087,0.014007308160779537,0.00013141640602412806,0.001218026796589525,7.884984361447684e-05,0.0009135200974421437,0.007779851236628381,0.010657734470158343,0.0004468157804820354,0.0009135200974421437
6,0.0002102662496386049,0.001218026796589525,0.004547007648434831,0.010048721071863581,0.0037322259310852367,0.014007308160779537,0.00013141640602412806,0.002131546894031669,7.884984361447684e-05,0.0015225334957369061,0.008726049360002102,0.011571254567600487,0.0005782321865061634,0.001218026796589525
7,0.0002891160932530817,0.001218026796589525,0.004625857492049307,0.010353227771010963,0.0037585092122900624,0.01492082825822168,0.0002365495308434305,0.002131546894031669,0.00013141640602412806,0.0015225334957369061,0.010250479669881988,0.012180267965895249,0.0009199148421688963,0.001218026796589525
8,0.0002891160932530817,0.0015225334957369061,0.00473099061686861,0.010353227771010963,0.0038110757746997134,0.01492082825822168,0.00031539937445790734,0.002131546894031669,0.00013141640602412806,0.0018270401948842874,0.011485793886508791,0.013702801461632157,0.001550713591084711,0.002131546894031669
9,0.00039424921807238415,0.0015225334957369061,0.0049149735853023895,0.010657734470158343,0.0038110757746997134,0.015225334957369063,0.00031539937445790734,0.00243605359317905,0.0002365495308434305,0.0018270401948842874,0.01251084185349699,0.01492082825822168,0.0017084132783136646,0.002131546894031669
10,0.0004205324992772098,0.0015225334957369061,0.004993823428916866,0.010962241169305725,0.0038899256183141905,0.015225334957369063,0.00036796593686755857,0.00243605359317905,0.0002365495308434305,0.002131546894031669,0.014035272163376876,0.017356881851400732,0.0018398296843377927,0.002131546894031669
